Equation,Iteration,Euler Error,Euler Improved Error,RK4 Error,,,,,,Euler Time,Euler Improved Time,RK4 Time,,,,Euler Time,Euler Improved Time,RK4 Time
Equation 1,57,1.473248902,1.84E-14,1.84E-14,,,,,,,,,,,,0.3625307,0.8610869,1.5833332
Equation 1,58,1.452178267,3.56E-14,3.56E-14,,,,,,,,,,,,0.3625307,0.8610869,1.5833332
Equation 1,59,1.431691337,1.72E-14,1.72E-14,,,,,,,,,,,,0.3625307,0.8610869,1.5833332
Equation 1,60,1.411764706,0,0,,,,,,,,,,,,0.3625307,0.8610869,1.5833332
Equation 1,61,1.39237617,1.62E-14,1.62E-14,,,,,,,,,,,,0.3625307,0.8610869,1.5833332
Equation 1,62,1.373504652,0,0,,,,,,,,,,,,0.3625307,0.8610869,1.5833332
Equation 1,63,1.355130136,1.53E-14,1.53E-14,,,,,,,,,,,,0.3625307,0.8610869,1.5833332
Equation 1,64,1.337233598,1.48E-14,1.48E-14,,,,,,,,,,,,0.3625307,0.8610869,1.5833332
Equation 1,65,1.319796954,0,0,,,,,,,,,,,,0.3625307,0.8610869,1.5833332
Equation 1,66,1.302803,2.81E-14,2.81E-14,,,,,,,,,,,,0.3625307,0.8610869,1.5833332
Equation 1,67,1.286235362,1.36E-14,1.36E-14,,,,,,,,,,,,0.3625307,0.8610869,1.5833332
Equation 1,68,1.270078446,2.65E-14,2.65E-14,,,,,,,,,,,,0.3625307,0.8610869,1.5833332
Equation 1,69,1.254317397,1.29E-14,1.29E-14,,,,,,,,,,,,0.3625307,0.8610869,1.5833332
Equation 1,70,1.238938053,0,0,,,,,,,,,,,,0.3625307,0.8610869,1.5833332
Equation 1,71,1.223926909,1.22E-14,1.22E-14,,,,,,,,,,,,0.3625307,0.8610869,1.5833332
Equation 1,72,1.209271078,1.19E-14,1.19E-14,,,,,,,,,,,,0.3625307,0.8610869,1.5833332
Equation 1,73,1.194958258,2.33E-14,2.33E-14,,,,,,,,,,,,0.3625307,0.8610869,1.5833332
Equation 1,74,1.1809767,1.13E-14,1.13E-14,,,,,,,,,,,,0.3625307,0.8610869,1.5833332
Equation 1,75,1.167315175,0,0,,,,,,,,,,,,0.3625307,0.8610869,1.5833332
